Nombre_Cliente,ID_Asociado,Saldo_Cuenta,Score_DICOM_Simulado,Oferta_Comercial_Asignada,Dias_Desde_Ultima_Clave
Usuario 0,6353X,3835308,328,Cuenta Corriente Premium,253
Usuario 1,9986X,11649095,458,Cuenta Corriente Premium,103
Usuario 2,1206X,6613464,504,Cuenta Corriente Premium,24
Usuario 3,8373X,12785139,615,Cuenta Corriente Premium,125
Usuario 4,9688X,8492514,819,Cuenta Corriente Premium,384
Usuario 5,5252X,4448052,378,Cuenta Corriente Premium,282
Usuario 6,6057X,515945,463,Cuenta Corriente Premium,213
Usuario 7,9062X,10083543,898,Cuenta Corriente Premium,209
Usuario 8,7240X,1909234,433,Cuenta Corriente Premium,380
Usuario 9,4403X,508679,423,Cuenta Corriente Premium,277
Usuario 10,9731X,14073978,313,Cuenta Corriente Premium,96
Usuario 11,9749X,10005411,358,Cuenta Corriente Premium,148
Usuario 12,3829X,8471530,595,Cuenta Corriente Premium,81
Usuario 13,5967X,10916456,544,Cuenta Corriente Premium,206
Usuario 14,8791X,4046796,855,Cuenta Corriente Premium,240
Usuario 15,9060X,1089438,445,Cuenta Corriente Premium,64
Usuario 16,7595X,13199880,507,Cuenta Corriente Premium,242
Usuario 17,6688X,4597287,885,Cuenta Corriente Premium,314
Usuario 18,4259X,13018679,490,Cuenta Corriente Premium,172
Usuario 19,2864X,4441903,892,Cuenta Corriente Premium,392
Usuario 20,3985X,9036029,592,Cuenta Corriente Premium,322
Usuario 21,8449X,1958124,895,Cuenta Corriente Premium,343
Usuario 22,2041X,9745433,554,Cuenta Corriente Premium,303
Usuario 23,2687X,13868654,301,Cuenta Corriente Premium,308
Usuario 24,2996X,10317485,617,Cuenta Corriente Premium,288
Usuario 25,6218X,5322560,781,Cuenta Corriente Premium,72
Usuario 26,2785X,14471070,418,Cuenta Corriente Premium,250
Usuario 27,6483X,14289982,652,Cuenta Corriente Premium,326
Usuario 28,6345X,8468186,688,Cuenta Corriente Premium,298
Usuario 29,7340X,10198552,342,Cuenta Corriente Premium,79
Usuario 30,9379X,8897313,452,Cuenta Corriente Premium,60
Usuario 31,5296X,7079552,781,Cuenta Corriente Premium,72
Usuario 32,5150X,12700948,367,Cuenta Corriente Premium,258
Usuario 33,9061X,10256260,771,Cuenta Corriente Premium,381
Usuario 34,7993X,7673060,786,Cuenta Corriente Premium,215
Usuario 35,2602X,14369155,785,Cuenta Corriente Premium,348
Usuario 36,5658X,8583980,638,Cuenta Corriente Premium,117
Usuario 37,2742X,635764,420,Cuenta Corriente Premium,312
Usuario 38,6908X,2601333,431,Cuenta Corriente Premium,380
Usuario 39,3988X,7820750,338,Cuenta Corriente Premium,198
Usuario 40,6979X,7471713,371,Cuenta Corriente Premium,293
Usuario 41,7290X,299168,579,Cuenta Corriente Premium,354
Usuario 42,5974X,6025029,669,Cuenta Corriente Premium,53
Usuario 43,6448X,12643167,568,Cuenta Corriente Premium,364
Usuario 44,6884X,10190196,602,Cuenta Corriente Premium,76
Usuario 45,5986X,1841940,847,Cuenta Corriente Premium,100
Usuario 46,4532X,2097754,813,Cuenta Corriente Premium,168
Usuario 47,4388X,2231174,785,Cuenta Corriente Premium,88
Usuario 48,1178X,2620046,512,Cuenta Corriente Premium,175
