Nombre_Cliente,ID_Asociado,Saldo_Cuenta,Score_DICOM_Simulado,Oferta_Comercial_Asignada,Dias_Desde_Ultima_Clave
Usuario 0,8333X,7916619,331,Cuenta Corriente Premium,119
Usuario 1,4742X,14871282,774,Cuenta Corriente Premium,213
Usuario 2,7778X,2474872,354,Cuenta Corriente Premium,258
Usuario 3,7615X,2458096,833,Cuenta Corriente Premium,149
Usuario 4,5740X,873365,688,Cuenta Corriente Premium,31
Usuario 5,5090X,3115643,446,Cuenta Corriente Premium,277
Usuario 6,6619X,8546431,856,Cuenta Corriente Premium,293
Usuario 7,1200X,7228702,705,Cuenta Corriente Premium,176
Usuario 8,4383X,3382596,646,Cuenta Corriente Premium,284
Usuario 9,7587X,13491674,596,Cuenta Corriente Premium,400
Usuario 10,4608X,5946781,554,Cuenta Corriente Premium,310
Usuario 11,7569X,6946140,458,Cuenta Corriente Premium,249
Usuario 12,1134X,4146687,576,Cuenta Corriente Premium,137
Usuario 13,8422X,949048,880,Cuenta Corriente Premium,246
Usuario 14,2754X,14693555,542,Cuenta Corriente Premium,192
Usuario 15,8490X,13517263,514,Cuenta Corriente Premium,309
Usuario 16,1953X,4754131,708,Cuenta Corriente Premium,295
Usuario 17,3134X,4911493,802,Cuenta Corriente Premium,261
Usuario 18,7065X,12002990,850,Cuenta Corriente Premium,224
Usuario 19,6059X,9159121,501,Cuenta Corriente Premium,37
Usuario 20,7171X,7524114,785,Cuenta Corriente Premium,191
Usuario 21,6017X,1536747,678,Cuenta Corriente Premium,317
Usuario 22,7020X,7183683,664,Cuenta Corriente Premium,277
Usuario 23,4237X,13742541,858,Cuenta Corriente Premium,376
Usuario 24,4721X,9439703,482,Cuenta Corriente Premium,25
Usuario 25,2816X,9070083,403,Cuenta Corriente Premium,78
Usuario 26,8406X,6266239,430,Cuenta Corriente Premium,37
Usuario 27,9422X,4226130,803,Cuenta Corriente Premium,81
Usuario 28,1465X,9395443,413,Cuenta Corriente Premium,233
Usuario 29,6852X,11241081,857,Cuenta Corriente Premium,343
Usuario 30,1646X,2174810,668,Cuenta Corriente Premium,161
Usuario 31,5147X,6810981,379,Cuenta Corriente Premium,367
Usuario 32,3192X,11288554,749,Cuenta Corriente Premium,236
Usuario 33,1987X,5413302,429,Cuenta Corriente Premium,89
Usuario 34,1405X,11564003,412,Cuenta Corriente Premium,380
Usuario 35,6573X,3581482,478,Cuenta Corriente Premium,161
Usuario 36,3569X,10945910,478,Cuenta Corriente Premium,338
Usuario 37,7163X,5538903,607,Cuenta Corriente Premium,334
Usuario 38,7947X,11414827,770,Cuenta Corriente Premium,22
Usuario 39,6158X,8612125,701,Cuenta Corriente Premium,156
Usuario 40,6846X,10429970,415,Cuenta Corriente Premium,398
Usuario 41,6743X,7034169,828,Cuenta Corriente Premium,308
Usuario 42,5250X,12669429,744,Cuenta Corriente Premium,277
Usuario 43,5945X,13843437,589,Cuenta Corriente Premium,88
Usuario 44,8758X,2771963,451,Cuenta Corriente Premium,255
Usuario 45,1883X,10671428,696,Cuenta Corriente Premium,106
Usuario 46,9943X,3052953,502,Cuenta Corriente Premium,224
Usuario 47,4385X,9814793,742,Cuenta Corriente Premium,65
Usuario 48,2132X,8709512,678,Cuenta Corriente Premium,13
Usuario 49,9426X,6506877,582,Cuenta Corriente Premium,334
Usuario 50,8053X,548052,648,Cuenta Corriente Premium,61
Usuario 51,2539X,4837367,438,Cuenta Corriente Premium,105
Usuario 52,9407X,4944371,745,Cuenta Corriente Premium,86
Usuario 53,3445X,9261173,396,Cuenta Corriente Premium,18
Usuario 54,9332X,13366836,860,Cuenta Corriente Premium,368
Usuario 55,8718X,12670308,567,Cuenta Corriente Premium,110
Usuario 56,1831X,2784228,544,Cuenta Corriente Premium,27
Usuario 57,3295X,11796100,459,Cuenta Corriente Premium,237
Usuario 58,1848X,2985826,495,Cuenta Corriente Premium,50
Usuario 59,8499X,10083816,624,Cuenta Corriente Premium,366
Usuario 60,8893X,14633636,424,Cuenta Corriente Premium,130
Usuario 61,1101X,13510140,531,Cuenta Corriente Premium,12
Usuario 62,9698X,14101292,369,Cuenta Corriente Premium,58
Usuario 63,4911X,7928578,362,Cuenta Corriente Premium,292
Usuario 64,3449X,1117992,561,Cuenta Corriente Premium,280
Usuario 65,3102X,7827616,694,Cuenta Corriente Premium,361
Usuario 66,7339X,1532456,460,Cuenta Corriente Premium,18
Usuario 67,2709X,1112022,632,Cuenta Corriente Premium,146
Usuario 68,5958X,13637390,426,Cuenta Corriente Premium,173
Usuario 69,1161X,13792956,716,Cuenta Corriente Premium,2
Usuario 70,5435X,9666459,311,Cuenta Corriente Premium,164
Usuario 71,1225X,13098650,338,Cuenta Corriente Premium,178
Usuario 72,8011X,14338503,565,Cuenta Corriente Premium,99
Usuario 73,5737X,1162083,773,Cuenta Corriente Premium,310
Usuario 74,2531X,7565920,616,Cuenta Corriente Premium,290
Usuario 75,4296X,5735481,607,Cuenta Corriente Premium,287
Usuario 76,9241X,11416002,564,Cuenta Corriente Premium,159
Usuario 77,2782X,8694312,760,Cuenta Corriente Premium,45
Usuario 78,1851X,9657843,640,Cuenta Corriente Premium,148
Usuario 79,7858X,3492392,826,Cuenta Corriente Premium,200
Usuario 80,3913X,7505910,312,Cuenta Corriente Premium,300
Usuario 81,4150X,6357192,376,Cuenta Corriente Premium,116
Usuario 82,8164X,5908982,890,Cuenta Corriente Premium,20
Usuario 83,9061X,11242934,865,Cuenta Corriente Premium,223
Usuario 84,2946X,945288,727,Cuenta Corriente Premium,368
Usuario 85,4489X,10456012,500,Cuenta Corriente Premium,385
Usuario 86,4294X,11070654,310,Cuenta Corriente Premium,247
Usuario 87,2986X,13160089,543,Cuenta Corriente Premium,302
Usuario 88,3286X,13695732,427,Cuenta Corriente Premium,322
Usuario 89,1905X,11898183,872,Cuenta Corriente Premium,27
Usuario 90,3239X,5272503,328,Cuenta Corriente Premium,102
Usuario 91,3177X,7089769,781,Cuenta Corriente Premium,369
Usuario 92,7136X,13141062,323,Cuenta Corriente Premium,96
Usuario 93,7765X,10163891,741,Cuenta Corriente Premium,398
Usuario 94,5934X,11792876,896,Cuenta Corriente Premium,203
Usuario 95,3497X,6968934,376,Cuenta Corriente Premium,246
Usuario 96,1976X,12227889,455,Cuenta Corriente Premium,391
Usuario 97,2923X,5823195,520,Cuenta Corriente Premium,397
Usuario 98,7218X,7312674,495,Cuenta Corriente Premium,198
Usuario 99,1356X,13277736,599,Cuenta Corriente Premium,165
Usuario 100,6887X,7204396,323,Cuenta Corriente Premium,109
Usuario 101,8180X,2443446,854,Cuenta Corriente Premium,389
Usuario 102,7950X,1303781,894,Cuenta Corriente Premium,385
Usuario 103,1652X,2710734,510,Cuenta Corriente Premium,378
Usuario 104,7624X,4697992,783,Cuenta Corriente Premium,2
Usuario 105,5537X,14159050,523,Cuenta Corriente Premium,188
Usuario 106,8891X,6503975,608,Cuenta Corriente Premium,393
Usuario 107,8179X,13065936,460,Cuenta Corriente Premium,16
Usuario 108,7706X,12503155,342,Cuenta Corriente Premium,130
Usuario 109,1289X,1784482,515,Cuenta Corriente Premium,234
Usuario 110,6725X,6856816,341,Cuenta Corriente Premium,356
Usuario 111,4245X,4224478,492,Cuenta Corriente Premium,98
Usuario 112,2878X,13031372,527,Cuenta Corriente Premium,124
Usuario 113,2827X,13425134,530,Cuenta Corriente Premium,138
Usuario 114,4456X,13817291,349,Cuenta Corriente Premium,307
Usuario 115,4525X,1045754,564,Cuenta Corriente Premium,389
Usuario 116,5387X,7429337,539,Cuenta Corriente Premium,355
Usuario 117,8836X,13890224,487,Cuenta Corriente Premium,355
Usuario 118,7528X,4221274,717,Cuenta Corriente Premium,333
Usuario 119,3159X,5355923,673,Cuenta Corriente Premium,332
Usuario 120,8136X,2546013,534,Cuenta Corriente Premium,202
Usuario 121,5063X,213202,852,Cuenta Corriente Premium,352
Usuario 122,6049X,14027145,604,Cuenta Corriente Premium,324
Usuario 123,9982X,8890368,574,Cuenta Corriente Premium,133
Usuario 124,9706X,6983543,836,Cuenta Corriente Premium,154
Usuario 125,9282X,9711397,603,Cuenta Corriente Premium,195
Usuario 126,6928X,14536661,630,Cuenta Corriente Premium,76
Usuario 127,8882X,1282147,302,Cuenta Corriente Premium,10
Usuario 128,1431X,14814834,485,Cuenta Corriente Premium,292
Usuario 129,7264X,2969130,492,Cuenta Corriente Premium,268
Usuario 130,4264X,3716413,696,Cuenta Corriente Premium,121
Usuario 131,8582X,5535009,497,Cuenta Corriente Premium,51
Usuario 132,4644X,6386943,671,Cuenta Corriente Premium,42
Usuario 133,1830X,13077990,454,Cuenta Corriente Premium,257
Usuario 134,8014X,10509621,616,Cuenta Corriente Premium,42
Usuario 135,5759X,6087960,540,Cuenta Corriente Premium,367
Usuario 136,4387X,9846806,651,Cuenta Corriente Premium,360
Usuario 137,4917X,12502344,740,Cuenta Corriente Premium,153
Usuario 138,3403X,7510897,401,Cuenta Corriente Premium,356
Usuario 139,7217X,2792794,586,Cuenta Corriente Premium,131
Usuario 140,2655X,12333513,655,Cuenta Corriente Premium,32
Usuario 141,1670X,10753824,381,Cuenta Corriente Premium,153
Usuario 142,9109X,12735782,788,Cuenta Corriente Premium,294
Usuario 143,6485X,5616225,585,Cuenta Corriente Premium,188
Usuario 144,8630X,7394487,303,Cuenta Corriente Premium,90
Usuario 145,3297X,8338419,733,Cuenta Corriente Premium,35
Usuario 146,7287X,10042031,386,Cuenta Corriente Premium,358
Usuario 147,6071X,13039223,548,Cuenta Corriente Premium,139
Usuario 148,5591X,11568482,768,Cuenta Corriente Premium,226
Usuario 149,7332X,11072008,397,Cuenta Corriente Premium,157
Usuario 150,6766X,8267427,437,Cuenta Corriente Premium,47
Usuario 151,9128X,3166954,482,Cuenta Corriente Premium,44
Usuario 152,6714X,7347148,559,Cuenta Corriente Premium,192
Usuario 153,5212X,2123834,706,Cuenta Corriente Premium,241
Usuario 154,7840X,4813693,783,Cuenta Corriente Premium,170
Usuario 155,2290X,9613884,651,Cuenta Corriente Premium,27
Usuario 156,8973X,522497,404,Cuenta Corriente Premium,164
Usuario 157,1091X,7260414,372,Cuenta Corriente Premium,239
